object file;REPCXX.prep_and_parser;preprocessing;parsing;REPCXX.sema_and_rdt;RDT;REPCXX.lef_init;REPCXX.checkers;UsageRulesChecker;REPCXX.XPath;REPCXX.MIR_related;ast_to_mir converter;mir checksum;mir save;statNPD;REPCXX.metrics;REPCXX.call_graph;clef.processing_file;restore mir;clef.kbDInit;recv_cached_data;clef.kbDump;clef.kbDumpSocket;FormatString;GENERAL_KB;WRITEKB;UMR;NPDKB;NPD;ALLOCKB;ABVKB;TaintedAllocKB;TaintedAlloc;CheckLocAddrRet;AnalyzeModifiedGlobals;mir_function_init;ALLOCKB.XMRF;ALLOCKB.ALLOC;TaintedAlloc.SINKKB;REPCXX.lef_finalize;READKB;RNPD;RNC;MLK;TaintedString;INF_LOOP;mir_function_finalize;USAGE_RULES_FOR_CALLS;NPD.SRC;CheckIterator;TaintedStringKB;DBZ;TaintedAlloc.SOURCEKB;TaintedString.SINKKB;TaintedString.SOURCEKB;TaintedString.PROPKB;MallocSizeofPointer;FREE;rhReleaseKB;RETURN;TaintedString.ABV_NNTS;FREEKB;orderFunctionNodes;CheckInconsistentLabels;KWLEF.MAIN;KWLEF.statNPD;KWLEF.analysis loop;KBDB_SOCK_GET;CACHE_SOCK_GET;KBDB_SOCK_GET_ENT;KBDB_SOCK_GET_KB;KBDB_SOCK_UPD;KBDB_SOCK_UPD_KB;KBDB_SOCK_UPD_KB_RECV;KBDB_SOCK_UPD_KB_DBREAD;KBDB_SOCK_UPD_KB_DBWRITE;KBDB_SOCK_UPD_KB_SYNC;KWLEF.M2SOCK_INNER;KWLEF.M1SOCK_OUTER;KWLEF.finalizing cache;KWLEF.generated kb dump;KBDB_CACHE_WRITE;Concurrency;LINKER.ParsingOptions;LINKER.InitializationInv;LINKER.ReadingObjects;
null;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.002;0.044;0.083
adler32.c_0.o;0.216;0.162;0.015;0.008;0.008;0.008;0.004;0.001;0.002;0.012;0.002;0.002;0.005;0.001;0.001;0.003;0.094;0.004;0.052;0.004;0.010;0.009;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
compress.c_1.o;0.139;0.101;0.004;0.002;0.002;0.040;0.034;0.000;0.000;0.004;0.001;0.000;0.002;0.000;0.001;0.001;0.111;0.002;0.021;0.004;0.037;0.036;0.001;0.005;0.001;0.001;0.001;0.001;0.002;0.002;0.001;0.001;0.001;0.001;0.004;0.001;0.001;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
crc32.c_2.o;0.240;0.183;0.018;0.012;0.012;0.004;0.006;0.000;0.002;0.027;0.008;0.003;0.014;0.001;0.002;0.003;1.562;0.007;0.050;0.012;0.014;0.007;0.000;0.678;0.000;0.001;0.016;0.017;0.010;0.586;0.030;0.002;0.012;0.001;0.078;0.006;0.004;0.030;0.001;0.003;0.013;0.004;0.004;0.002;0.005;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
deflate.c_3.o;0.216;0.153;0.037;0.021;0.021;0.017;0.009;0.000;0.005;0.158;0.028;0.017;0.107;0.003;0.005;0.034;7.837;0.041;0.022;0.003;0.024;0.010;0.003;2.068;0.247;0.023;0.032;0.215;0.164;2.250;0.785;0.004;0.190;0.004;0.657;0.126;0.038;0.784;0.001;0.315;0.102;0.009;0.041;0.005;0.486;0.021;0.001;0.047;0.001;0.028;0.001;0.001;0.004;0.001;0.023;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
example.c_15.o;0.166;0.111;0.024;0.013;0.013;0.002;0.010;0.001;0.003;0.031;0.010;0.003;0.013;0.002;0.003;0.003;0.466;0.011;0.029;0.004;0.009;0.007;0.001;0.119;0.000;0.004;0.016;0.020;0.011;0.032;0.009;0.002;0.005;0.002;0.090;0.008;0.003;0.008;0.000;0.007;0.009;0.000;0.008;0.004;0.002;0.005;0.001;0.002;0.002;0.014;0.002;0.001;0.003;0.006;0.005;0.001;0.005;0.006;0.001;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
gzclose.c_4.o;0.285;0.206;0.031;0.014;0.014;0.003;0.006;0.001;0.002;0.007;0.002;0.000;0.001;0.000;0.002;0.004;0.070;0.000;0.024;0.006;0.010;0.008;0.000;0.002;0.001;0.001;0.000;0.000;0.000;0.000;0.001;0.000;0.000;0.000;0.002;0.000;0.000;0.001;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.008;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
gzlib.c_5.o;0.278;0.216;0.030;0.045;0.045;0.002;0.009;0.001;0.002;0.028;0.009;0.002;0.013;0.001;0.003;0.006;1.910;0.010;0.029;0.004;0.012;0.007;0.000;0.985;0.012;0.010;0.006;0.024;0.219;0.119;0.004;0.002;0.016;0.000;0.089;0.014;0.205;0.003;0.000;0.013;0.009;0.000;0.012;0.001;0.002;0.006;0.000;0.217;0.001;0.011;0.009;0.001;0.002;0.000;0.009;0.000;0.053;0.000;0.000;0.001;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
gzread.c_6.o;0.259;0.192;0.030;0.014;0.014;0.004;0.008;0.000;0.005;0.036;0.008;0.004;0.020;0.001;0.003;0.006;1.607;0.007;0.050;0.016;0.026;0.007;0.002;0.414;0.047;0.003;0.037;0.025;0.275;0.208;0.056;0.000;0.016;0.001;0.071;0.040;0.235;0.056;0.000;0.065;0.009;0.000;0.068;0.002;0.007;0.004;0.000;0.043;0.000;0.091;0.000;0.000;0.002;0.077;0.012;0.000;0.012;0.013;0.000;0.000;0.005;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
gzwrite.c_7.o;0.233;0.173;0.030;0.016;0.016;0.006;0.008;0.000;0.003;0.031;0.008;0.003;0.017;0.001;0.003;0.006;1.319;0.009;0.034;0.015;0.014;0.009;0.001;0.338;0.049;0.004;0.021;0.022;0.312;0.047;0.056;0.000;0.014;0.001;0.084;0.045;0.267;0.056;0.000;0.074;0.009;0.001;0.099;0.001;0.005;0.003;0.000;0.002;0.000;0.018;0.000;0.000;0.001;0.000;0.017;0.000;0.012;0.035;0.000;0.000;0.006;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
